TeamName,Twitter_Handle,Twitter_Address
FilecoinGreen,@filecoingreen,https://x.com/filecoingreen
Filecoin Storage Providers,@filecoinsp,https://x.com/filecoinsp
Filecoin Austin Orbit,@austin_orbit,https://x.com/austin_orbit
Filecoin TLDR,@FilecoinTLDR,https://x.com/filecointldr
FilecoinFoundation,@FilFoundation,https://x.com/FilFoundation
Filecoin,@Filecoin,https://x.com/Filecoin
Protocol Labs,@protocollabs,https://x.com/protocollabs
Gitcoin,@gitcoin,https://x.com/gitcoin
IPFS,@IPFS,https://x.com/ipfs
Libp2p,@libp2p,https://x.com/libp2p
Huddle01,@huddle01com,https://x.com/huddle01com
Banyan,@BanyanComputer,https://x.com/banyancomputer
Glif,@glifio,https://x.com/glifio
Molecule,@Molecule_dao,https://x.com/Molecule_dao
Desci,@descilabs,https://x.com/descilabs